timestamp_s,cpu_percent,working_set_gb,private_gb,gpu_util_percent,gpu_mem_used_mb
129.386,73.593,40.796,7.450,35,6962
129.749,73.253,40.796,7.450,41,6962
130.115,73.554,40.796,7.450,35,6962
130.477,73.459,40.796,7.450,35,6932
130.826,73.776,40.796,7.450,35,6905
131.188,73.028,40.796,7.450,34,6909
131.549,75.654,40.796,7.450,43,6951
131.909,73.534,40.796,7.450,43,6918
132.270,70.267,40.796,7.450,35,6918
132.631,73.860,40.796,7.450,35,6909
132.993,73.034,40.796,7.450,34,6906
133.356,73.333,40.796,7.450,34,6906
133.705,75.376,40.796,7.450,34,6872
134.065,73.852,40.796,7.450,33,6872
134.423,70.233,40.796,7.450,33,6872
134.784,77.008,40.796,7.450,35,6868
135.147,73.110,40.796,7.450,35,6868
135.509,71.657,40.796,7.450,43,6882
135.870,73.684,40.796,7.450,43,6882
136.231,72.835,40.796,7.450,35,6883
136.594,73.518,40.796,7.450,34,6884
136.941,75.887,40.796,7.450,35,6873
137.298,70.426,40.796,7.450,35,6873
137.657,72.208,40.796,7.450,34,6873
138.016,74.068,40.796,7.450,35,6862
138.382,75.983,40.796,7.450,35,6862
138.746,72.964,40.796,7.450,35,6857
139.106,74.021,40.796,7.450,34,6857
139.466,73.808,40.796,7.450,35,6857
139.828,73.919,40.796,7.450,35,6857
140.190,74.992,40.796,7.450,36,6857
140.554,54.667,39.626,1.256,21,1159
140.868,2.955,37.090,1.256,21,1159
141.179,3.135,34.554,1.256,9,1159
141.496,2.926,31.980,1.256,10,1142
141.810,3.115,29.458,1.256,10,1139
142.125,3.101,26.950,1.166,9,1151
142.439,2.949,24.528,1.166,9,1151
142.751,2.503,21.961,1.166,10,1151
143.093,3.004,19.290,1.166,10,1153
143.406,3.123,16.792,0.935,10,1153
143.720,3.104,14.333,0.935,9,1165
144.035,3.101,11.922,0.935,15,1168
144.351,3.093,9.444,0.935,15,1166
144.667,3.083,6.847,0.935,10,1166
145.006,3.170,4.280,0.935,10,1166
145.331,3.159,1.704,0.935,10,1166
