graph_id,node_index,op,fused_nodes,worker_us,barrier_us,name,src0,src1
2,21,UNARY,0,0,2,"node_330","node_329",""
2,22,MUL_MAT,0,61,6,"node_331","blk.1.hc_ffn_up.weight","node_330"
2,23,UNARY,0,31,1,"hc_gate-1","node_331",""
2,24,MUL,0,4,0,"node_333","hc_norm-1","hc_gate-1"
2,27,CONT,0,0,2," (reshaped) (view) (cont)"," (reshaped) (view)",""
2,29,ADD,0,2,0,"node_338"," (reshaped) (view) (cont)"," (reshaped) (view)"
2,31,ADD,0,1,1,"node_340","node_338"," (reshaped) (view)"
2,33,ADD,0,2,1,"node_342","node_340"," (reshaped) (view)"
2,34,SCALE,0,0,6,"ffn_moe_inp-1","node_342",""
2,35,MUL_MAT,0,80,21,"ffn_moe_logits-1","blk.1.ffn_gate_inp.weight","ffn_moe_inp-1"
2,36,SOFT_MAX,0,2,1,"ffn_moe_probs-1","ffn_moe_logits-1",""
2,38,ARGSORT,0,21,1,"ffn_moe_argsort-1","ffn_moe_probs-1",""
2,40,GET_ROWS,0,0,3,"ffn_moe_weights-1","ffn_moe_probs-1 (reshaped)","ffn_moe_topk-1"
2,42,SUM_ROWS,0,0,2,"ffn_moe_weights_sum-1","ffn_moe_weights-1 (reshaped)",""
2,43,CLAMP,0,0,2,"ffn_moe_weights_sum_clamped-1","ffn_moe_weights_sum-1",""
2,44,DIV,0,0,6,"ffn_moe_weights_norm-1","ffn_moe_weights-1 (reshaped)","ffn_moe_weights_sum_clamped-1"
2,47,MUL_MAT_ID,0,165,31,"ffn_moe_gate-1","blk.1.ffn_gate_exps.weight","ffn_moe_inp-1 (reshaped)"
2,48,MUL_MAT_ID,0,168,22,"ffn_moe_up-1","blk.1.ffn_up_exps.weight","ffn_moe_inp-1 (reshaped)"
2,49,GLU,0,1,3,"ffn_moe_swiglu-1","ffn_moe_gate-1","ffn_moe_up-1"
2,50,MUL_MAT_ID,0,124,92,"ffn_moe_down-1","blk.1.ffn_down_exps.weight","ffn_moe_swiglu-1"
2,51,MUL,0,2,4,"ffn_moe_weighted-1","ffn_moe_down-1","ffn_moe_weights_norm-1 (reshaped)"
2,62,ADD,0,1,4,"node_371","ffn_moe_weighted-1 (view)","ffn_moe_weighted-1 (view)"
2,63,ADD,0,1,1,"node_372","node_371","ffn_moe_weighted-1 (view)"
2,64,ADD,0,1,0,"node_373","node_372","ffn_moe_weighted-1 (view)"
2,65,ADD,0,2,0,"node_374","node_373","ffn_moe_weighted-1 (view)"
2,66,ADD,0,2,1,"node_375","node_374","ffn_moe_weighted-1 (view)"
2,67,ADD,0,1,1,"node_376","node_375","ffn_moe_weighted-1 (view)"
2,68,ADD,0,1,2,"node_377","node_376","ffn_moe_weighted-1 (view)"
2,69,ADD,0,1,0,"node_378","node_377","ffn_moe_weighted-1 (view)"
2,70,ADD,0,1,1,"ffn_moe_out-1","node_378","ffn_moe_weighted-1 (view)"
2,71,MUL_MAT,0,28,7,"ffn_gate-1","blk.1.ffn_gate_shexp.weight","ffn_moe_inp-1"
2,72,MUL_MAT,0,28,9,"ffn_up-1","blk.1.ffn_up_shexp.weight","ffn_moe_inp-1"
2,73,GLU,0,0,8,"ffn_swiglu-1","ffn_gate-1","ffn_up-1"
2,74,MUL_MAT,0,28,11,"ffn_shexp-1","blk.1.ffn_down_shexp.weight","ffn_swiglu-1"
2,75,MUL_MAT,0,4,1,"shared_expert_gate-1","blk.1.ffn_gate_inp_shexp.weight","ffn_moe_inp-1"
2,76,UNARY,0,0,1,"shared_expert_gate_sigmoid-1","shared_expert_gate-1",""
2,77,MUL,0,2,8,"ffn_shexp_gated-1","ffn_shexp-1","shared_expert_gate_sigmoid-1"
2,78,ADD,0,2,1,"ffn_out-1","ffn_moe_out-1","ffn_shexp_gated-1"
2,80,REPEAT,0,2,0,"node_389","ffn_out-1 (reshaped)",""
2,81,MUL_MAT,0,5,6,"hc_inject-1","blk.1.hc_ffn_inject.weight","hc_norm-1"
2,82,SCALE,0,1,1,"node_391","hc_inject-1",""
2,83,UNARY,0,0,2,"node_392","node_391",""
2,84,SCALE,0,0,2,"node_393","node_392",""
2,86,MUL,0,3,6,"node_395","node_389"," (reshaped)"
2,87,ADD,0,2,0,"l_last-1","hc_combine-1","node_395"
2,88,RMS_NORM,0,2,1,"node_397","l_last-1",""
2,90,MUL,0,6,4,"hc_norm-2"," (reshaped)","blk.2.hc_attn_norm.weight"
