sample,host_total_ms,stage,start_ms,end_ms,duration_ms
10,1.195489,cpu_return_merge,1.0270719528198242,1.0864640474319458,0.05939209461212158
11,1.305593,activation_d2h,0.0,0.025472000241279602,0.025472000241279602
11,1.305593,cpu,0.361654,0.769143,0.40748900000000005
11,1.305593,gpu_resident,0.0,0.809984028339386,0.809984028339386
11,1.305593,gpu_h2d,0.0,0.3839679956436157,0.3839679956436157
11,1.305593,gpu_dequant,0.3839679956436157,0.532480001449585,0.14851200580596924
11,1.305593,gpu_promoted,0.809984028339386,0.881663978099823,0.07167994976043701
11,1.305593,cpu_return_merge,0.8837119780946523,0.936959981918335,0.053248003823682666
12,1.03402,activation_d2h,0.0,0.03235200047492981,0.03235200047492981
12,1.03402,cpu,0.396169,0.858728,0.46255900000000005
12,1.03402,gpu_resident,0.0,0.502784013748169,0.502784013748169
12,1.03402,gpu_h2d,0.0,0.3749440014362335,0.3749440014362335
12,1.03402,gpu_dequant,0.3749440014362335,0.44543999433517456,0.07049599289894104
12,1.03402,gpu_promoted,0.502784013748169,0.5980160236358643,0.09523200988769531
12,1.03402,cpu_return_merge,0.8683520257472992,0.9103360176086426,0.041983991861343384
13,1.051919,activation_d2h,0.0,0.025855999439954758,0.025855999439954758
13,1.051919,cpu,0.445544,0.85524,0.409696
13,1.051919,gpu_resident,0.0,0.32972800731658936,0.32972800731658936
13,1.051919,gpu_h2d,0.0,0.36003199219703674,0.36003199219703674
13,1.051919,gpu_dequant,0.36003199219703674,0.43827199935913086,0.07824000716209412
13,1.051919,gpu_promoted,0.43827199935913086,0.5017600059509277,0.06348800659179688
13,1.051919,cpu_return_merge,0.8838080167770386,0.9451519846916199,0.0613439679145813
14,0.914809,activation_d2h,0.0,0.03417599946260452,0.03417599946260452
14,0.914809,cpu,0.293782,0.696439,0.40265700000000004
14,0.914809,gpu_resident,0.0,0.5048320293426514,0.5048320293426514
14,0.914809,gpu_h2d,0.0,0.3848319947719574,0.3848319947719574
14,0.914809,gpu_dequant,0.3848319947719574,0.4689919948577881,0.08416000008583069
14,0.914809,gpu_promoted,0.5048320293426514,0.6330559849739075,0.1282239556312561
14,0.914809,cpu_return_merge,0.6942719854414463,0.7587839961051941,0.06451201066374779
15,0.964155,activation_d2h,0.0,0.02675200067460537,0.02675200067460537
15,0.964155,cpu,0.408445,0.781771,0.373326
15,0.964155,gpu_resident,0.0,0.4689919948577881,0.4689919948577881
15,0.964155,gpu_h2d,0.0,0.37404799461364746,0.37404799461364746
15,0.964155,gpu_dequant,0.37404799461364746,0.44543999433517456,0.0713919997215271
15,0.964155,gpu_promoted,0.4689919948577881,0.6000639796257019,0.13107198476791382
15,0.964155,cpu_return_merge,0.7988799810409546,0.839680016040802,0.04080003499984741
16,1.309787,activation_d2h,0.0,0.03587200120091438,0.03587200120091438
16,1.309787,cpu,0.332118,0.791907,0.459789
16,1.309787,gpu_resident,0.0,0.3031040132045746,0.3031040132045746
16,1.309787,gpu_h2d,0.0,0.3799999952316284,0.3799999952316284
16,1.309787,gpu_dequant,0.3799999952316284,0.4536319971084595,0.07363200187683105
16,1.309787,gpu_promoted,0.4536319971084595,0.532480001449585,0.07884800434112549
16,1.309787,cpu_return_merge,0.9236479997634888,1.1038719415664673,0.18022394180297852
17,1.023123,activation_d2h,0.0,0.029023999348282814,0.029023999348282814
17,1.023123,cpu,0.402809,0.83387,0.431061
17,1.023123,gpu_resident,0.0,0.5048320293426514,0.5048320293426514
17,1.023123,gpu_h2d,0.0,0.37913599610328674,0.37913599610328674
17,1.023123,gpu_dequant,0.37913599610328674,0.47411200404167175,0.09497600793838501
17,1.023123,gpu_promoted,0.5048320293426514,0.6297600269317627,0.12492799758911133
17,1.023123,cpu_return_merge,0.8357440233230591,0.8929280042648315,0.05718398094177246
18,0.997227,activation_d2h,0.0,0.031328000128269196,0.031328000128269196
18,0.997227,cpu,0.400886,0.779717,0.378831
18,0.997227,gpu_resident,0.0,0.4907520115375519,0.4907520115375519
18,0.997227,gpu_h2d,0.0,0.3612160086631775,0.3612160086631775
18,0.997227,gpu_dequant,0.3612160086631775,0.4403199851512909,0.0791039764881134
18,0.997227,gpu_promoted,0.4907520115375519,0.6021119952201843,0.11135998368263245
18,0.997227,cpu_return_merge,0.8162560015916824,0.8724480271339417,0.056192025542259216
19,1.026399,activation_d2h,0.0,0.023679999634623528,0.023679999634623528
19,1.026399,cpu,0.214645,0.829833,0.6151880000000001
19,1.026399,gpu_resident,0.0,0.4596160054206848,0.4596160054206848
19,1.026399,gpu_h2d,0.0,0.3707520067691803,0.3707520067691803
19,1.026399,gpu_dequant,0.3707520067691803,0.44630399346351624,0.07555198669433594
19,1.026399,gpu_promoted,0.4596160054206848,0.5722560286521912,0.11264002323150635
19,1.026399,cpu_return_merge,0.8334400355815887,0.8866239786148071,0.053183943033218384
20,1.075039,activation_d2h,0.0,0.022143999114632607,0.022143999114632607
20,1.075039,cpu,0.446919,0.892689,0.44576999999999994
20,1.075039,gpu_resident,0.0,0.4833280146121979,0.4833280146121979
20,1.075039,gpu_h2d,0.0,0.3715519905090332,0.3715519905090332
20,1.075039,gpu_dequant,0.3715519905090332,0.45772799849510193,0.08617600798606873
20,1.075039,gpu_promoted,0.4833280146121979,0.6022080183029175,0.1188800036907196
20,1.075039,cpu_return_merge,0.8908800184726715,0.9502720236778259,0.05939200520515442
21,1.180045,activation_d2h,0.0,0.024607999250292778,0.024607999250292778
21,1.180045,cpu,0.409331,0.775763,0.366432
21,1.180045,gpu_resident,0.0,0.9461759924888611,0.9461759924888611
21,1.180045,gpu_h2d,0.0,0.3712320029735565,0.3712320029735565
