graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
27,77,MUL,0,2,0,1879,"ffn_shexp_gated-26","ffn_shexp-26","shared_expert_gate_sigmoid-26"
27,78,ADD,0,2,0,1881,"ffn_out-26","ffn_moe_out-26","ffn_shexp_gated-26"
27,151,RMS_NORM,0,4,1,3081,"norm-27","indexer_k_pooled-27 (reshaped)",""
28,38,MUL_MAT,0,269,53,559,"attn_output-27","blk.27.attn_output.weight","attn_gated-27"
28,66,SCALE,0,0,2,784,"ffn_moe_inp-27","node_4577",""
28,102,ADD,0,1,1,1617,"ffn_moe_out-27","node_4613","ffn_moe_weighted-27 (view)"
28,106,MUL_MAT,0,22,17,1745,"ffn_shexp-27","blk.27.ffn_down_shexp.weight","ffn_swiglu-27"
28,109,MUL,0,2,0,1766,"ffn_shexp_gated-27","ffn_shexp-27","shared_expert_gate_sigmoid-27"
28,110,ADD,0,1,0,1768,"ffn_out-27","ffn_moe_out-27","ffn_shexp_gated-27"
28,184,RMS_NORM,0,1,1,3149,"norm-28","attn_output-28",""
29,5,MUL_MAT,0,292,52,667,"linear_attn_out-28","blk.28.ssm_out.weight","final_output-28"
29,34,SCALE,0,0,2,919,"ffn_moe_inp-28","node_4731",""
29,70,ADD,0,1,0,1735,"ffn_moe_out-28","node_4767","ffn_moe_weighted-28 (view)"
29,74,MUL_MAT,0,28,12,1853,"ffn_shexp-28","blk.28.ffn_down_shexp.weight","ffn_swiglu-28"
29,77,MUL,0,2,0,1860,"ffn_shexp_gated-28","ffn_shexp-28","shared_expert_gate_sigmoid-28"
29,78,ADD,0,1,1,1862,"ffn_out-28","ffn_moe_out-28","ffn_shexp_gated-28"
29,152,RMS_NORM,0,0,2,3338,"norm-29","attn_output-29",""
30,5,MUL_MAT,0,303,53,702,"linear_attn_out-29","blk.29.ssm_out.weight","final_output-29"
30,34,SCALE,0,0,1,958,"ffn_moe_inp-29","node_4885",""
30,70,ADD,0,1,1,1696,"ffn_moe_out-29","node_4921","ffn_moe_weighted-29 (view)"
30,74,MUL_MAT,0,33,3,1820,"ffn_shexp-29","blk.29.ffn_down_shexp.weight","ffn_swiglu-29"
30,77,MUL,0,2,1,1829,"ffn_shexp_gated-29","ffn_shexp-29","shared_expert_gate_sigmoid-29"
30,78,ADD,0,1,0,1830,"ffn_out-29","ffn_moe_out-29","ffn_shexp_gated-29"
30,152,RMS_NORM,0,0,4,3266,"norm-30","attn_output-30",""
31,5,MUL_MAT,0,277,70,686,"linear_attn_out-30","blk.30.ssm_out.weight","final_output-30"
31,34,SCALE,0,0,2,938,"ffn_moe_inp-30","node_5039",""
31,70,ADD,0,1,0,2064,"ffn_moe_out-30","node_5075","ffn_moe_weighted-30 (view)"
31,74,MUL_MAT,0,21,18,2180,"ffn_shexp-30","blk.30.ffn_down_shexp.weight","ffn_swiglu-30"
31,77,MUL,0,1,1,2188,"ffn_shexp_gated-30","ffn_shexp-30","shared_expert_gate_sigmoid-30"
31,78,ADD,0,1,0,2189,"ffn_out-30","ffn_moe_out-30","ffn_shexp_gated-30"
31,151,RMS_NORM,0,3,0,3297,"norm-31","indexer_k_pooled-31 (reshaped)",""
32,38,MUL_MAT,0,180,133,516,"attn_output-31","blk.31.attn_output.weight","attn_gated-31"
32,66,SCALE,0,0,2,841,"ffn_moe_inp-31","node_5226",""
32,102,ADD,0,1,1,1981,"ffn_moe_out-31","node_5262","ffn_moe_weighted-31 (view)"
32,106,MUL_MAT,0,23,13,2122,"ffn_shexp-31","blk.31.ffn_down_shexp.weight","ffn_swiglu-31"
32,109,MUL,0,1,1,2151,"ffn_shexp_gated-31","ffn_shexp-31","shared_expert_gate_sigmoid-31"
32,110,ADD,0,1,1,2153,"ffn_out-31","ffn_moe_out-31","ffn_shexp_gated-31"
32,184,RMS_NORM,0,0,2,3514,"norm-32","attn_output-32",""
33,5,MUL_MAT,0,227,115,680,"linear_attn_out-32","blk.32.ssm_out.weight","final_output-32"
33,34,SCALE,0,0,4,925,"ffn_moe_inp-32","node_5380",""
33,70,ADD,0,1,1,1691,"ffn_moe_out-32","node_5416","ffn_moe_weighted-32 (view)"
33,74,MUL_MAT,0,19,17,1804,"ffn_shexp-32","blk.32.ffn_down_shexp.weight","ffn_swiglu-32"
33,77,MUL,0,1,1,1812,"ffn_shexp_gated-32","ffn_shexp-32","shared_expert_gate_sigmoid-32"
33,78,ADD,0,1,1,1814,"ffn_out-32","ffn_moe_out-32","ffn_shexp_gated-32"
33,152,RMS_NORM,0,0,1,3089,"norm-33","attn_output-33",""
34,5,MUL_MAT,0,216,136,700,"linear_attn_out-33","blk.33.ssm_out.weight","final_output-33"
34,34,SCALE,0,0,1,983,"ffn_moe_inp-33","node_5534",""
34,70,ADD,0,1,1,2473,"ffn_moe_out-33","node_5570","ffn_moe_weighted-33 (view)"
34,74,MUL_MAT,0,29,8,2606,"ffn_shexp-33","blk.33.ffn_down_shexp.weight","ffn_swiglu-33"
34,77,MUL,0,2,0,2625,"ffn_shexp_gated-33","ffn_shexp-33","shared_expert_gate_sigmoid-33"
34,78,ADD,0,1,1,2627,"ffn_out-33","ffn_moe_out-33","ffn_shexp_gated-33"
34,152,RMS_NORM,0,0,2,3953,"norm-34","attn_output-34",""
35,5,MUL_MAT,0,275,79,763,"linear_attn_out-34","blk.34.ssm_out.weight","final_output-34"
35,34,SCALE,0,0,1,1240,"ffn_moe_inp-34","node_5688",""
35,70,ADD,0,2,0,2065,"ffn_moe_out-34","node_5724","ffn_moe_weighted-34 (view)"
35,74,MUL_MAT,0,33,6,2199,"ffn_shexp-34","blk.34.ffn_down_shexp.weight","ffn_swiglu-34"
35,77,MUL,0,2,0,2206,"ffn_shexp_gated-34","ffn_shexp-34","shared_expert_gate_sigmoid-34"
35,78,ADD,0,1,1,2208,"ffn_out-34","ffn_moe_out-34","ffn_shexp_gated-34"
35,151,RMS_NORM,0,4,1,3312,"norm-35","indexer_k_pooled-35 (reshaped)",""
36,38,MUL_MAT,0,250,76,591,"attn_output-35","blk.35.attn_output.weight","attn_gated-35"
