graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
153,3,MUL_MAT_ID,0,275,125,1156,"ffn_moe_down-1","blk.1.ffn_down_exps.weight","ffn_moe_swiglu-1"
154,3,MUL_MAT_ID,0,354,200,1285,"ffn_moe_down-2","blk.2.ffn_down_exps.weight","ffn_moe_swiglu-2"
155,3,MUL_MAT_ID,0,394,87,1168,"ffn_moe_down-3","blk.3.ffn_down_exps.weight","ffn_moe_swiglu-3"
156,3,MUL_MAT_ID,0,448,164,1372,"ffn_moe_down-4","blk.4.ffn_down_exps.weight","ffn_moe_swiglu-4"
157,3,MUL_MAT_ID,0,208,7,602,"ffn_moe_down-5","blk.5.ffn_down_exps.weight","ffn_moe_swiglu-5"
158,3,MUL_MAT_ID,0,154,270,1173,"ffn_moe_down-6","blk.6.ffn_down_exps.weight","ffn_moe_swiglu-6"
159,3,MUL_MAT_ID,0,198,148,970,"ffn_moe_down-7","blk.7.ffn_down_exps.weight","ffn_moe_swiglu-7"
160,3,MUL_MAT_ID,0,177,129,983,"ffn_moe_down-8","blk.8.ffn_down_exps.weight","ffn_moe_swiglu-8"
161,3,MUL_MAT_ID,0,164,150,889,"ffn_moe_down-9","blk.9.ffn_down_exps.weight","ffn_moe_swiglu-9"
162,3,MUL_MAT_ID,0,149,208,970,"ffn_moe_down-10","blk.10.ffn_down_exps.weight","ffn_moe_swiglu-10"
163,3,MUL_MAT_ID,0,142,101,669,"ffn_moe_down-11","blk.11.ffn_down_exps.weight","ffn_moe_swiglu-11"
164,3,MUL_MAT_ID,0,121,88,589,"ffn_moe_down-12","blk.12.ffn_down_exps.weight","ffn_moe_swiglu-12"
165,3,MUL_MAT_ID,0,234,108,960,"ffn_moe_down-13","blk.13.ffn_down_exps.weight","ffn_moe_swiglu-13"
166,3,MUL_MAT_ID,0,118,89,572,"ffn_moe_down-14","blk.14.ffn_down_exps.weight","ffn_moe_swiglu-14"
167,3,MUL_MAT_ID,0,125,108,644,"ffn_moe_down-15","blk.15.ffn_down_exps.weight","ffn_moe_swiglu-15"
168,3,MUL_MAT_ID,0,117,266,1109,"ffn_moe_down-16","blk.16.ffn_down_exps.weight","ffn_moe_swiglu-16"
169,3,MUL_MAT_ID,0,92,124,601,"ffn_moe_down-17","blk.17.ffn_down_exps.weight","ffn_moe_swiglu-17"
170,3,MUL_MAT_ID,0,163,265,1172,"ffn_moe_down-18","blk.18.ffn_down_exps.weight","ffn_moe_swiglu-18"
171,3,MUL_MAT_ID,0,186,31,604,"ffn_moe_down-19","blk.19.ffn_down_exps.weight","ffn_moe_swiglu-19"
172,3,MUL_MAT_ID,0,336,62,1141,"ffn_moe_down-20","blk.20.ffn_down_exps.weight","ffn_moe_swiglu-20"
173,3,MUL_MAT_ID,0,209,10,586,"ffn_moe_down-21","blk.21.ffn_down_exps.weight","ffn_moe_swiglu-21"
174,3,MUL_MAT_ID,0,253,97,1050,"ffn_moe_down-22","blk.22.ffn_down_exps.weight","ffn_moe_swiglu-22"
175,3,MUL_MAT_ID,0,194,10,565,"ffn_moe_down-23","blk.23.ffn_down_exps.weight","ffn_moe_swiglu-23"
176,3,MUL_MAT_ID,0,394,1,1107,"ffn_moe_down-24","blk.24.ffn_down_exps.weight","ffn_moe_swiglu-24"
177,3,MUL_MAT_ID,0,182,31,665,"ffn_moe_down-25","blk.25.ffn_down_exps.weight","ffn_moe_swiglu-25"
178,3,MUL_MAT_ID,0,190,16,586,"ffn_moe_down-26","blk.26.ffn_down_exps.weight","ffn_moe_swiglu-26"
179,3,MUL_MAT_ID,0,339,32,1038,"ffn_moe_down-27","blk.27.ffn_down_exps.weight","ffn_moe_swiglu-27"
180,3,MUL_MAT_ID,0,206,3,572,"ffn_moe_down-28","blk.28.ffn_down_exps.weight","ffn_moe_swiglu-28"
181,3,MUL_MAT_ID,0,218,6,614,"ffn_moe_down-29","blk.29.ffn_down_exps.weight","ffn_moe_swiglu-29"
182,3,MUL_MAT_ID,0,332,1,806,"ffn_moe_down-30","blk.30.ffn_down_exps.weight","ffn_moe_swiglu-30"
183,3,MUL_MAT_ID,0,124,92,644,"ffn_moe_down-31","blk.31.ffn_down_exps.weight","ffn_moe_swiglu-31"
184,3,MUL_MAT_ID,0,124,91,597,"ffn_moe_down-32","blk.32.ffn_down_exps.weight","ffn_moe_swiglu-32"
185,3,MUL_MAT_ID,0,124,89,586,"ffn_moe_down-33","blk.33.ffn_down_exps.weight","ffn_moe_swiglu-33"
186,3,MUL_MAT_ID,0,128,96,635,"ffn_moe_down-34","blk.34.ffn_down_exps.weight","ffn_moe_swiglu-34"
187,3,MUL_MAT_ID,0,131,97,645,"ffn_moe_down-35","blk.35.ffn_down_exps.weight","ffn_moe_swiglu-35"
188,3,MUL_MAT_ID,0,135,84,628,"ffn_moe_down-36","blk.36.ffn_down_exps.weight","ffn_moe_swiglu-36"
189,3,MUL_MAT_ID,0,127,90,591,"ffn_moe_down-37","blk.37.ffn_down_exps.weight","ffn_moe_swiglu-37"
190,3,MUL_MAT_ID,0,130,87,588,"ffn_moe_down-38","blk.38.ffn_down_exps.weight","ffn_moe_swiglu-38"
191,3,MUL_MAT_ID,0,134,92,662,"ffn_moe_down-39","blk.39.ffn_down_exps.weight","ffn_moe_swiglu-39"
192,3,MUL_MAT_ID,0,263,112,1086,"ffn_moe_down-40","blk.40.ffn_down_exps.weight","ffn_moe_swiglu-40"
193,3,MUL_MAT_ID,0,136,81,606,"ffn_moe_down-41","blk.41.ffn_down_exps.weight","ffn_moe_swiglu-41"
194,3,MUL_MAT_ID,0,133,86,583,"ffn_moe_down-42","blk.42.ffn_down_exps.weight","ffn_moe_swiglu-42"
195,3,MUL_MAT_ID,0,122,95,583,"ffn_moe_down-43","blk.43.ffn_down_exps.weight","ffn_moe_swiglu-43"
196,3,MUL_MAT_ID,0,126,87,583,"ffn_moe_down-44","blk.44.ffn_down_exps.weight","ffn_moe_swiglu-44"
197,3,MUL_MAT_ID,0,221,130,1118,"ffn_moe_down-45","blk.45.ffn_down_exps.weight","ffn_moe_swiglu-45"
198,3,MUL_MAT_ID,0,336,13,753,"ffn_moe_down-46","blk.46.ffn_down_exps.weight","ffn_moe_swiglu-46"
199,3,MUL_MAT_ID,0,318,8,688,"ffn_moe_down-47","blk.47.ffn_down_exps.weight","ffn_moe_swiglu-47"
200,0,GET_ROWS,0,21,0,21,"model.input_embed","token_embd.weight","inp_tokens"
201,3,MUL_MAT_ID,0,233,10,673,"ffn_moe_down-0","blk.0.ffn_down_exps.weight","ffn_moe_swiglu-0"
203,3,MUL_MAT_ID,0,306,64,1017,"ffn_moe_down-1","blk.1.ffn_down_exps.weight","ffn_moe_swiglu-1"
204,3,MUL_MAT_ID,0,318,16,921,"ffn_moe_down-2","blk.2.ffn_down_exps.weight","ffn_moe_swiglu-2"
205,3,MUL_MAT_ID,0,162,59,594,"ffn_moe_down-3","blk.3.ffn_down_exps.weight","ffn_moe_swiglu-3"
206,3,MUL_MAT_ID,0,316,19,700,"ffn_moe_down-4","blk.4.ffn_down_exps.weight","ffn_moe_swiglu-4"
207,3,MUL_MAT_ID,0,504,27,1243,"ffn_moe_down-5","blk.5.ffn_down_exps.weight","ffn_moe_swiglu-5"
208,3,MUL_MAT_ID,0,220,7,657,"ffn_moe_down-6","blk.6.ffn_down_exps.weight","ffn_moe_swiglu-6"
209,3,MUL_MAT_ID,0,163,83,660,"ffn_moe_down-7","blk.7.ffn_down_exps.weight","ffn_moe_swiglu-7"
210,3,MUL_MAT_ID,0,123,97,626,"ffn_moe_down-8","blk.8.ffn_down_exps.weight","ffn_moe_swiglu-8"
211,3,MUL_MAT_ID,0,173,144,947,"ffn_moe_down-9","blk.9.ffn_down_exps.weight","ffn_moe_swiglu-9"
212,3,MUL_MAT_ID,0,126,90,578,"ffn_moe_down-10","blk.10.ffn_down_exps.weight","ffn_moe_swiglu-10"
213,3,MUL_MAT_ID,0,125,99,604,"ffn_moe_down-11","blk.11.ffn_down_exps.weight","ffn_moe_swiglu-11"
214,3,MUL_MAT_ID,0,143,86,631,"ffn_moe_down-12","blk.12.ffn_down_exps.weight","ffn_moe_swiglu-12"
215,3,MUL_MAT_ID,0,188,210,1098,"ffn_moe_down-13","blk.13.ffn_down_exps.weight","ffn_moe_swiglu-13"
216,3,MUL_MAT_ID,0,132,88,602,"ffn_moe_down-14","blk.14.ffn_down_exps.weight","ffn_moe_swiglu-14"
217,3,MUL_MAT_ID,0,125,91,584,"ffn_moe_down-15","blk.15.ffn_down_exps.weight","ffn_moe_swiglu-15"
218,3,MUL_MAT_ID,0,129,105,614,"ffn_moe_down-16","blk.16.ffn_down_exps.weight","ffn_moe_swiglu-16"
219,3,MUL_MAT_ID,0,130,99,654,"ffn_moe_down-17","blk.17.ffn_down_exps.weight","ffn_moe_swiglu-17"
220,3,MUL_MAT_ID,0,203,112,1011,"ffn_moe_down-18","blk.18.ffn_down_exps.weight","ffn_moe_swiglu-18"
221,3,MUL_MAT_ID,0,192,176,987,"ffn_moe_down-19","blk.19.ffn_down_exps.weight","ffn_moe_swiglu-19"
222,3,MUL_MAT_ID,0,249,188,1183,"ffn_moe_down-20","blk.20.ffn_down_exps.weight","ffn_moe_swiglu-20"
223,3,MUL_MAT_ID,0,132,91,648,"ffn_moe_down-21","blk.21.ffn_down_exps.weight","ffn_moe_swiglu-21"
224,3,MUL_MAT_ID,0,118,100,603,"ffn_moe_down-22","blk.22.ffn_down_exps.weight","ffn_moe_swiglu-22"
225,3,MUL_MAT_ID,0,126,92,599,"ffn_moe_down-23","blk.23.ffn_down_exps.weight","ffn_moe_swiglu-23"
226,3,MUL_MAT_ID,0,122,94,617,"ffn_moe_down-24","blk.24.ffn_down_exps.weight","ffn_moe_swiglu-24"
227,3,MUL_MAT_ID,0,122,93,589,"ffn_moe_down-25","blk.25.ffn_down_exps.weight","ffn_moe_swiglu-25"
228,3,MUL_MAT_ID,0,123,103,644,"ffn_moe_down-26","blk.26.ffn_down_exps.weight","ffn_moe_swiglu-26"
229,3,MUL_MAT_ID,0,131,100,644,"ffn_moe_down-27","blk.27.ffn_down_exps.weight","ffn_moe_swiglu-27"
230,3,MUL_MAT_ID,0,124,95,619,"ffn_moe_down-28","blk.28.ffn_down_exps.weight","ffn_moe_swiglu-28"
231,3,MUL_MAT_ID,0,135,73,571,"ffn_moe_down-29","blk.29.ffn_down_exps.weight","ffn_moe_swiglu-29"
232,3,MUL_MAT_ID,0,281,46,719,"ffn_moe_down-30","blk.30.ffn_down_exps.weight","ffn_moe_swiglu-30"
233,3,MUL_MAT_ID,0,131,100,670,"ffn_moe_down-31","blk.31.ffn_down_exps.weight","ffn_moe_swiglu-31"
234,3,MUL_MAT_ID,0,123,96,671,"ffn_moe_down-32","blk.32.ffn_down_exps.weight","ffn_moe_swiglu-32"
235,3,MUL_MAT_ID,0,136,97,683,"ffn_moe_down-33","blk.33.ffn_down_exps.weight","ffn_moe_swiglu-33"
236,3,MUL_MAT_ID,0,121,87,578,"ffn_moe_down-34","blk.34.ffn_down_exps.weight","ffn_moe_swiglu-34"
237,3,MUL_MAT_ID,0,119,95,597,"ffn_moe_down-35","blk.35.ffn_down_exps.weight","ffn_moe_swiglu-35"
238,3,MUL_MAT_ID,0,122,90,599,"ffn_moe_down-36","blk.36.ffn_down_exps.weight","ffn_moe_swiglu-36"
239,3,MUL_MAT_ID,0,126,102,634,"ffn_moe_down-37","blk.37.ffn_down_exps.weight","ffn_moe_swiglu-37"
240,3,MUL_MAT_ID,0,121,106,608,"ffn_moe_down-38","blk.38.ffn_down_exps.weight","ffn_moe_swiglu-38"
241,3,MUL_MAT_ID,0,125,98,596,"ffn_moe_down-39","blk.39.ffn_down_exps.weight","ffn_moe_swiglu-39"
242,3,MUL_MAT_ID,0,122,92,592,"ffn_moe_down-40","blk.40.ffn_down_exps.weight","ffn_moe_swiglu-40"
243,3,MUL_MAT_ID,0,125,90,593,"ffn_moe_down-41","blk.41.ffn_down_exps.weight","ffn_moe_swiglu-41"
244,3,MUL_MAT_ID,0,129,88,587,"ffn_moe_down-42","blk.42.ffn_down_exps.weight","ffn_moe_swiglu-42"
245,3,MUL_MAT_ID,0,149,77,632,"ffn_moe_down-43","blk.43.ffn_down_exps.weight","ffn_moe_swiglu-43"
246,3,MUL_MAT_ID,0,144,92,720,"ffn_moe_down-44","blk.44.ffn_down_exps.weight","ffn_moe_swiglu-44"
247,3,MUL_MAT_ID,0,127,83,579,"ffn_moe_down-45","blk.45.ffn_down_exps.weight","ffn_moe_swiglu-45"
248,3,MUL_MAT_ID,0,275,42,683,"ffn_moe_down-46","blk.46.ffn_down_exps.weight","ffn_moe_swiglu-46"
249,3,MUL_MAT_ID,0,284,42,705,"ffn_moe_down-47","blk.47.ffn_down_exps.weight","ffn_moe_swiglu-47"
250,0,GET_ROWS,0,3,0,3,"model.input_embed","token_embd.weight","inp_tokens"
251,3,MUL_MAT_ID,0,151,82,707,"ffn_moe_down-0","blk.0.ffn_down_exps.weight","ffn_moe_swiglu-0"
253,3,MUL_MAT_ID,0,211,15,639,"ffn_moe_down-1","blk.1.ffn_down_exps.weight","ffn_moe_swiglu-1"
254,3,MUL_MAT_ID,0,281,55,806,"ffn_moe_down-2","blk.2.ffn_down_exps.weight","ffn_moe_swiglu-2"
255,3,MUL_MAT_ID,0,195,179,1078,"ffn_moe_down-3","blk.3.ffn_down_exps.weight","ffn_moe_swiglu-3"
256,3,MUL_MAT_ID,0,401,383,1546,"ffn_moe_down-4","blk.4.ffn_down_exps.weight","ffn_moe_swiglu-4"
257,3,MUL_MAT_ID,0,229,155,1168,"ffn_moe_down-5","blk.5.ffn_down_exps.weight","ffn_moe_swiglu-5"
258,3,MUL_MAT_ID,0,99,126,602,"ffn_moe_down-6","blk.6.ffn_down_exps.weight","ffn_moe_swiglu-6"
259,3,MUL_MAT_ID,0,117,283,1057,"ffn_moe_down-7","blk.7.ffn_down_exps.weight","ffn_moe_swiglu-7"
260,3,MUL_MAT_ID,0,120,104,671,"ffn_moe_down-8","blk.8.ffn_down_exps.weight","ffn_moe_swiglu-8"
261,3,MUL_MAT_ID,0,152,150,779,"ffn_moe_down-9","blk.9.ffn_down_exps.weight","ffn_moe_swiglu-9"
262,3,MUL_MAT_ID,0,130,89,647,"ffn_moe_down-10","blk.10.ffn_down_exps.weight","ffn_moe_swiglu-10"
263,3,MUL_MAT_ID,0,124,92,598,"ffn_moe_down-11","blk.11.ffn_down_exps.weight","ffn_moe_swiglu-11"
264,3,MUL_MAT_ID,0,233,128,1004,"ffn_moe_down-12","blk.12.ffn_down_exps.weight","ffn_moe_swiglu-12"
265,3,MUL_MAT_ID,0,137,102,706,"ffn_moe_down-13","blk.13.ffn_down_exps.weight","ffn_moe_swiglu-13"
