evidence_source,record_type,context_label,n_ctx,prompt_or_state_tokens,mode,run_purpose,kv_profile,cache_type_k,cache_type_v,expert_pool_gib,n_batch,n_ubatch,cuda_model_buffer_mib,cuda_kv_buffer_mib,cuda_recurrent_state_mib,cuda_kv_and_recurrent_mib,cuda_compute_buffer_mib,cuda_host_compute_buffer_mib,resource_samples,baseline_gpu_mem_used_mib,peak_gpu_mem_used_mib,peak_incremental_gpu_mem_mib,gpu_mem_total_mib,min_gpu_headroom_mib,peak_working_set_gib,peak_cpu_percent,peak_gpu_util_percent,source_path,resource_path,stderr_path
Measured,resource_sample,192k,196608,195563,hybrid-fixed-cache,vram-adaptive-u16,q8-q4,q8_0,q4_0,6,2048,16,10866.63,2502.01,112.57,2614.5800000000004,412.72,14.56,75,204.0,14393.0,14189.0,16376.0,1983.0,14.429,78.38,86.0,192k/vram-adaptive-u16/q8-q4-pool6g-run-1.json,192k/vram-adaptive-u16/q8-q4-pool6g-run-1.resources.csv,192k/vram-adaptive-u16/q8-q4-pool6g-run-1.stderr.log
Measured,roundtrip_allocation,192k,196608,195563,roundtrip,kv-roundtrip/q8-q4,q8-q4,q8_0,q4_0,,2560,2560,4459.62,2502.01,112.57,2614.5800000000004,6757.85,1492.79,,,,,,,,,,192k/kv-roundtrip/q8-q4/roundtrip.json,,192k/kv-roundtrip/q8-q4/roundtrip.stderr.log
Measured,capacity_probe_allocation,262k,262144,2,cold-only,capacity-probes/q4-q4-b2048,q4-q4,q4_0,q4_0,,2048,2048,4459.62,2376.01,112.57,2488.5800000000004,6984.28,1579.48,,,,,,,,,,262k/capacity-probes/q4-q4-b2048/probe.json,,262k/capacity-probes/q4-q4-b2048/probe.stderr.log
Measured,capacity_probe_allocation,262k,262144,2,cold-only,capacity-probes/q4-q4-u1,q4-q4,q4_0,q4_0,,1,1,4459.62,2376.01,112.57,2488.5800000000004,196.32,4.21,,,,,,,,,,262k/capacity-probes/q4-q4-u1/probe.json,,262k/capacity-probes/q4-q4-u1/probe.stderr.log
Measured,resource_sample,262k,262144,261099,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,2048,2048,4459.62,2376.01,112.57,2488.5800000000004,6984.28,1579.48,705,487.0,14761.0,14274.0,16376.0,1615.0,56.884,,100.0,262k/kv-roundtrip/q4-q4/roundtrip.json,262k/kv-roundtrip/q4-q4/resources.csv,262k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,resource_sample,262k,262144,261099,hybrid-fixed-cache,vram-adaptive-u16,q4-q4,q4_0,q4_0,6,2048,16,10866.63,2376.01,112.57,2488.5800000000004,548.47,18.31,19,576.0,14778.0,14202.0,16376.0,1598.0,14.199,75.33,27.0,262k/vram-adaptive-u16/q4-q4-pool6g-run-1.json,262k/vram-adaptive-u16/q4-q4-pool6g-run-1.resources.csv,262k/vram-adaptive-u16/q4-q4-pool6g-run-1.stderr.log
Measured,roundtrip_allocation,262k,262144,261099,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,2048,2048,4459.62,2376.01,112.57,2488.5800000000004,6984.28,1579.48,,,,,,,,,,262k/kv-roundtrip/q4-q4/roundtrip.json,,262k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,capacity_probe_allocation,262k,262144,2,cold-only,capacity-probes/q8-q4-b1536,q8-q4,q8_0,q4_0,,1536,1536,4459.62,3336.01,112.57,3448.5800000000004,5450.71,1185.43,,,,,,,,,,262k/capacity-probes/q8-q4-b1536/probe.json,,262k/capacity-probes/q8-q4-b1536/probe.stderr.log
Measured,capacity_probe_allocation,262k,262144,2,cold-only,capacity-probes/q8-q4-u1,q8-q4,q8_0,q4_0,,1,1,4459.62,3336.01,112.57,3448.5800000000004,196.32,4.21,,,,,,,,,,262k/capacity-probes/q8-q4-u1/probe.json,,262k/capacity-probes/q8-q4-u1/probe.stderr.log
Measured,resource_sample,262k,262144,261099,roundtrip,kv-roundtrip/q8-q4,q8-q4,q8_0,q4_0,,1536,1536,4459.62,3336.01,112.57,3448.5800000000004,5450.71,1185.43,769,487.0,14185.0,13698.0,16376.0,2191.0,56.408,,100.0,262k/kv-roundtrip/q8-q4/roundtrip.json,262k/kv-roundtrip/q8-q4/resources.csv,262k/kv-roundtrip/q8-q4/roundtrip.stderr.log
Measured,resource_sample,262k,262144,261099,hybrid-fixed-cache,vram-adaptive-u16,q8-q4,q8_0,q4_0,4,2048,16,8741.41,3336.01,112.57,3448.5800000000004,548.47,18.31,18,575.0,13611.0,13036.0,16376.0,2765.0,12.293,74.36,46.0,262k/vram-adaptive-u16/q8-q4-pool4g-run-1.json,262k/vram-adaptive-u16/q8-q4-pool4g-run-1.resources.csv,262k/vram-adaptive-u16/q8-q4-pool4g-run-1.stderr.log
Measured,resource_sample,262k,262144,261099,hybrid-fixed-cache,vram-adaptive-u16,q8-q4,q8_0,q4_0,6,2048,16,10866.63,3336.01,112.57,3448.5800000000004,548.47,18.31,19,577.0,15739.0,15162.0,16376.0,637.0,13.735,74.27,53.0,262k/vram-adaptive-u16/q8-q4-pool6g-run-1.json,262k/vram-adaptive-u16/q8-q4-pool6g-run-1.resources.csv,262k/vram-adaptive-u16/q8-q4-pool6g-run-1.stderr.log
Measured,roundtrip_allocation,262k,262144,261099,roundtrip,kv-roundtrip/q8-q4,q8-q4,q8_0,q4_0,,1536,1536,4459.62,3336.01,112.57,3448.5800000000004,5450.71,1185.43,,,,,,,,,,262k/kv-roundtrip/q8-q4/roundtrip.json,,262k/kv-roundtrip/q8-q4/roundtrip.stderr.log
